"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C5";"C_0805_2012Metric";5;"4u7";;;
2;"C6, C9, C10";"C_0402_1005Metric";3;"100n";;;
3;"C7, C8";"C_0201_0603Metric";2;"TBD";;;
4;"D1";"D_SOD-882D";1;"PESD5V0L1ULD";;;
5;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0_16P";;;
6;"J2, J3";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08_Pin";;;
7;"R1, R2";"R_0402_1005Metric";2;"5K";;;
8;"R3";"R_0805_2012Metric";1;"0R";;;
9;"R4";"R_0201_0603Metric";1;"TDR";;;
10;"R5, R7, R8, R9";"R_0402_1005Metric";4;"10K";;;
11;"R6";"R_0402_1005Metric";1;"100R";;;
12;"SW1, SW2";"SW_SPST_B3U-1000P";2;"SW_Push";;;
13;"U1";"SOT-23-6";1;"USBLC6-2SC6";;;
14;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
15;"U3";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
16;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal";;;
